State,Date,Time,Cumulative case count,Cumulative deaths,,,,,,,,,,,,
SA,02/04/2020,18:45,385,,,,,,,,,,,,,
WA,02/04/2020,18:45,400,,,,,,,,,,,,,
QLD,02/04/2020,10:56,781,3,,,,,,,,,,,,
QLD,02/04/2020,15:00,835,,,,,,,,,,,,,
VIC,02/04/2020,23:00,1036,6,,,,,,,,,,,,
NSW,02/04/2020,20:00,2389,12,,,,,,,,,,,,
NT,03/04/2020,00:58,22,,,,,,,,,,,,,
TAS,03/04/2020,17:45,80,,,,,,,,,,,,,
ACT,03/04/2020,14:45,91,,,,,,,,,,,,,
SA,03/04/2020,16:45,396,,,,,,,,,,,,,
WA,03/04/2020,15:45,422,3,,,,,,,,,,,,
QLD,03/04/2020,10:09,873,,,,,,,,,,,,,
VIC,03/04/2020,08:40,1085,7,,,,,,,,,,,,
NSW,03/04/2020,18:45,2493,,,,,,,,,,,,,
NT,04/04/2020,,25,,,,,,,,,,,,,
TAS,04/04/2020,,82,,,,,,,,,,,,,
ACT,04/04/2020,13:59,93,2,,,,,,,,,,,,
SA,04/04/2020,,407,,,,,,,,,,,,,
WA,04/04/2020,,436,,,,,,,,,,,,,
QLD,04/04/2020,19:45,900,,,,,,,,,,,,,
VIC,04/04/2020,20:45,1115,8,,,,,,,,,,,,
NSW,04/04/2020,20:00,2580,16,,,,,,,,,,,,
TAS,05/04/2020,11:30,86,,,,,,,,,,,,,
ACT,05/04/2020,13:00,96,,,,,,,,,,,,,
SA,05/04/2020,16:20,409,,,,,,,,,,,,,
WA,05/04/2020,15:40,453,,,,,,,,,,,,,
QLD,05/04/2020,11:00,907,,,,,,,,,,,,,
VIC,05/04/2020,10:50,1135,,,,,,,,,,,,,
NSW,05/04/2020,20:00,2637,19,,,,,,,,,,,,
QLD,05/04/2020,17:30,,4,,,,,,,,,,,,
NT,06/04/2020,06:00,26,,,,,,,,,,,,,
NT,06/04/2020,,27,,,,,,,,,,,,,
TAS,06/04/2020,09:22,89,,,,,,,,,,,,,
ACT,06/04/2020,,96,,,,,,,,,,,,,
SA,06/04/2020,,411,,,,,,,,,,,,,
WA,06/04/2020,14:50,460,4,,,,,,,,,,,,
QLD,06/04/2020,15:10,921,,,,,,,,,,,,,
VIC,06/04/2020,12:15,1158,10,,,,,,,,,,,,
NSW,06/04/2020,20:00,2686,21,,,,,,,,,,,,
SA,06/04/2020,09:00,,1,,,,,,,,,,,,
ACT,07/04/2020,13:54,97,,,,,,,,,,,,,
